Store,Date,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday
1,5-Feb-14,5.73,2.572,211.0963582,8.106,FALSE
2,5-Feb-14,4.55,2.572,210.7526053,8.324,FALSE
3,5-Feb-14,7.62,2.572,214.4248812,7.368,FALSE
4,5-Feb-14,6.53,2.598,126.4420645,8.623,FALSE
5,5-Feb-14,4.28,2.572,211.6539716,6.566,FALSE
6,5-Feb-14,4.68,2.572,212.6223518,7.259,FALSE
7,5-Feb-14,-11.93,2.58,189.3816974,9.014,FALSE
8,5-Feb-14,1.19,2.572,214.4714512,6.299,FALSE
9,5-Feb-14,3.34,2.572,214.6554591,6.415,FALSE
10,5-Feb-14,12.41,2.962,126.4420645,9.765,FALSE
11,5-Feb-14,7.8,2.572,214.4248812,7.368,FALSE
12,5-Feb-14,9.71,2.962,126.4420645,13.975,FALSE
13,5-Feb-14,-0.26,2.666,126.4420645,8.316,FALSE
14,5-Feb-14,-2.61,2.784,181.8711898,8.992,FALSE
15,5-Feb-14,-6.76,2.954,131.5279032,8.35,FALSE
16,5-Feb-14,-6.78,2.58,189.3816974,7.039,FALSE
17,5-Feb-14,-4.94,2.666,126.4420645,6.548,FALSE
18,5-Feb-14,-5.93,2.788,131.5279032,9.202,FALSE
19,5-Feb-14,-6.13,2.954,131.5279032,8.35,FALSE
20,5-Feb-14,-3.38,2.784,204.2471935,8.187,FALSE
21,5-Feb-14,3.92,2.572,210.7526053,8.324,FALSE
22,5-Feb-14,-4.24,2.788,135.3524608,8.283,FALSE
23,5-Feb-14,-9.31,2.788,131.5279032,5.892,FALSE
24,5-Feb-14,-5.32,2.954,131.5279032,8.326,FALSE
25,5-Feb-14,-6.06,2.784,204.2471935,8.187,FALSE
26,5-Feb-14,-12.47,2.788,131.5279032,8.488,FALSE
27,5-Feb-14,-2.67,2.954,135.3524608,8.237,FALSE
28,5-Feb-14,9.71,2.962,126.4420645,13.975,FALSE
29,5-Feb-14,-4.24,2.788,131.5279032,10.064,FALSE
30,5-Feb-14,3.92,2.572,210.7526053,8.324,FALSE
31,5-Feb-14,3.92,2.572,210.7526053,8.324,FALSE
32,5-Feb-14,1.35,2.58,189.3816974,9.014,FALSE
33,5-Feb-14,14.67,2.962,126.4420645,10.115,FALSE
34,5-Feb-14,1.91,2.598,126.4420645,9.521,FALSE
35,5-Feb-14,-2.67,2.784,135.3524608,9.262,FALSE
36,5-Feb-14,7.76,2.545,209.8529663,8.554,FALSE
37,5-Feb-14,7.76,2.572,209.8529663,8.554,FALSE
38,5-Feb-14,9.71,2.962,126.4420645,13.975,FALSE
39,5-Feb-14,6.83,2.572,209.8529663,8.554,FALSE
40,5-Feb-14,-9.73,2.788,131.5279032,5.892,FALSE
41,5-Feb-14,-0.96,2.58,189.3816974,7.541,FALSE
42,5-Feb-14,12.41,2.962,126.4420645,9.765,FALSE
43,5-Feb-14,8.51,2.572,203.0642742,9.521,FALSE
44,5-Feb-14,-0.26,2.666,126.4420645,8.119,FALSE
45,5-Feb-14,-2.61,2.784,181.8711898,8.992,FALSE
1,12-Feb-14,3.62,2.548,211.2421698,8.106,TRUE
2,12-Feb-14,3.61,2.548,210.8979935,8.324,TRUE
3,12-Feb-14,8.85,2.548,214.5747916,7.368,TRUE
4,12-Feb-14,-1.76,2.573,126.4962581,8.623,TRUE
5,12-Feb-14,4.34,2.548,211.8004698,6.566,TRUE
6,12-Feb-14,4.76,2.548,212.7700425,7.259,TRUE
7,12-Feb-14,-3.39,2.572,189.4642725,9.014,TRUE
8,12-Feb-14,0.74,2.548,214.6214189,6.299,TRUE
9,12-Feb-14,2.82,2.548,214.8056534,6.415,TRUE
10,12-Feb-14,9.98,2.828,126.4962581,9.765,TRUE
11,12-Feb-14,8.89,2.548,214.5747916,7.368,TRUE
12,12-Feb-14,8.82,2.946,126.4962581,13.975,TRUE
13,12-Feb-14,0.64,2.671,126.4962581,8.316,TRUE
14,12-Feb-14,-2.37,2.773,181.982317,8.992,TRUE
15,12-Feb-14,-5.56,2.94,131.5866129,8.35,TRUE
